Transaction Date,Transaction Month,Transaction Year,Time,UPI Number,UPI ID,Transaction Amount,Zip Code,Fraud
7,9,2022,12,2466774878,2.63494E+15,14112.68,21874,1
20,6,2021,18,8814420348,3.19823E+15,1332.46,96402,0
29,11,2020,20,6103493350,1.67082E+15,13970.22,24079,1
15,11,2021,18,3849618964,6.52707E+15,12418.05,59850,1
11,1,2023,9,6809887591,3.64609E+15,2035.96,82779,0
8,1,2023,2,5175655574,4.47705E+15,8518.27,19018,0
29,2,2024,13,9779777121,6.98204E+15,13011.56,59500,0
21,9,2024,18,2803551099,6.82631E+15,8619.96,22100,0
7,3,2023,4,1520701009,8.21891E+15,13617.28,67021,0
26,1,2023,4,6425873345,7.38444E+15,14150.46,29800,0
19,5,2023,19,5608863265,8.3993E+15,6393.53,73400,1
23,7,2021,16,9506818589,4.42505E+15,5721.97,39437,0
11,6,2023,20,1416940443,6.38058E+15,14051.19,86537,1
11,12,2022,9,1803342829,2.81669E+15,10159.59,56675,0
24,1,2020,4,1544640609,2.85809E+15,1828.74,29942,1
21,5,2023,3,7350484181,5.75319E+15,730.15,30862,1
4,5,2020,5,1264214327,6.3471E+15,8512.97,21669,1
8,6,2021,3,2121579338,3.2106E+15,13959.55,63772,0
24,3,2020,6,8309223648,1.05292E+15,12679.31,25916,0
3,5,2021,6,9780899356,1.54929E+15,10170.13,20878,0
22,7,2022,17,9229458357,3.35327E+15,2172.83,12985,0
21,5,2021,2,6542549394,3.11406E+15,3888.05,83648,1
2,5,2021,0,7619162097,7.40223E+15,13145.12,51235,0
24,5,2024,23,8791111824,8.49043E+15,2823.83,28931,1
12,10,2023,24,4380625173,6.14977E+15,4248.75,10336,1
30,10,2023,3,6711283857,2.68979E+15,2031.05,52933,0
6,3,2022,5,6431544672,3.37009E+15,10174.01,94899,0
2,1,2022,8,3574826989,9.39602E+15,14165.34,55536,0
28,5,2023,21,3219674042,1.29352E+15,4107.62,79504,1
21,9,2024,13,3310964053,2.9257E+15,7183.56,61148,0
1,1,2023,11,1390531079,3.5278E+15,9551.66,26279,1
12,3,2024,24,4858668871,4.09339E+15,14992.05,78665,0
26,4,2022,19,9293817131,6.98031E+15,1661.64,81386,1
22,1,2020,23,5002262132,3.61155E+15,7528.7,96124,0
29,1,2022,24,2880948026,7.46096E+15,5838.29,87485,0
12,8,2022,3,3173155376,7.2583E+15,13000.72,84055,1
25,2,2021,20,1570338981,8.16313E+15,7191.92,87273,0
